objectid,id_no,binomial,presence,origin,seasonal,compiler,yrcompiled,citation,subspecies,subpop,event_year,source,basisofrec,catalog_no,dist_comm,island,tax_comm,legend,kingdom,phylum,class,order_,family,genus,category,latitude,longitude
3197344,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,15.97777750,-97.70000000
3197345,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,15.96700000,-97.73300000
3197346,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.68726700,-99.60402000
3197347,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.85000000,-99.91670000
3197348,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.24000000,-94.94100000
3197349,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.26100000,-94.36400000
3197350,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.05000000,-94.70000000
3197351,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.05305500,-93.91972000
3197352,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.08194400,-93.90667000
3197353,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.05300000,-93.92000000
3197354,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.08200000,-93.90700000
3197355,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,17.95000000,-102.96700000
3197356,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,17.63330000,-101.65000000
3197357,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,19.56305500,-105.10472000
3197358,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,19.56300000,-105.10500000
3197359,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,19.55000000,-105.56700000
3197360,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,19.28060000,-104.84000000
3197361,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,19.20000000,-104.71700000
3197362,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,19.00000000,-104.16700000
3197363,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,20.76666600,-105.55000000
3197364,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,21.41670000,-106.40000000
3197365,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,21.51666600,-105.28333000
3197366,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,21.53333300,-105.28333000
3197367,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,21.51670000,-105.53300000
3197368,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,22.86670000,-109.88300000
3197369,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,22.88333300,-106.05000000
3197370,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,22.88300000,-106.05000000
3197371,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,22.86666700,-105.91666400
3197372,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,22.91666600,-106.00000000
3197373,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,22.86700000,-105.91700000
3197374,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,22.91700000,-106.00000000
3197375,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,22.83330000,-105.85000000
3197376,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,23.96670000,-109.76700000
3197377,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,23.05000000,-106.06666600
3197378,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,23.05000000,-106.06700000
3197379,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,23.01700000,-106.15000000
3197380,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,23.26670000,-106.46700000
3197381,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,24.53330000,-110.08300000
3197382,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,24.38333300,-109.91666400
3197383,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,24.38300000,-109.91700000
3197384,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,24.56670000,-107.83300000
3197385,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,25.80000000,-111.08333600
3197386,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,25.80833200,-111.31167000
3197387,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,25.80000000,-111.08300000
3197388,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,25.55000000,-109.56700000
3197389,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,26.53333300,-109.33333600
3197390,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,26.53300000,-109.33300000
3197391,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,27.08333400,-110.03333000
3197392,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,27.93333200,-110.98333000
3197393,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,27.08300000,-110.03300000
3197394,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,27.49100000,-109.93400000
3197395,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,28.58333400,-112.78333000
3197396,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,28.71666700,-112.33333600
3197397,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,28.71700000,-112.33300000
3197398,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,28.58300000,-112.78300000
3197399,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,29.21666700,-112.31666600
3197400,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,29.21700000,-112.31700000
3197401,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,23.01666600,-106.15000000
